Source_Borough,Drop_Borough,Date,Hour,Trip_Distance,Duration,Count_of_rides,tip_amount,total_amount
Brooklyn,Queens,1/1/18,1,6.5975,44.23386015,69,2.788362069,25.97083333
Queens,Manhattan,1/3/18,0,13.41937695,25.54097572,326,7.289198479,52.74230412
Manhattan,Bronx,1/4/18,21,8.801842105,21.84473684,38,2.257105263,30.26552632
Manhattan,Unknown,1/5/18,14,3.339814815,8.836728395,25,5.573981481,21.83342593
Manhattan,Brooklyn,1/12/18,10,6.150333333,41.44984127,117,3.012047619,28.3197619
Manhattan,Brooklyn,1/12/18,21,6.70710957,26.9931973,732,4.017313713,29.92109784
Manhattan,Queens,1/18/18,9,11.68609727,34.92518177,290,6.151511451,47.69370776
Queens,Queens,1/20/18,4,3.776948495,25.0174865,163,1.268026042,17.11633044
Manhattan,Bronx,1/26/18,7,6.766018519,48.77623457,59,2.571296296,26.94111111
Manhattan,Manhattan,1/30/18,3,2.285305838,11.16172009,747,1.079285348,11.79138929
Manhattan,Manhattan,1/2/18,0,2.491547092,12.08975756,2282,1.130271274,12.60126861
Manhattan,Manhattan,1/5/18,3,2.431580512,14.75473262,694,1.217089518,12.39021018
Manhattan,Manhattan,1/11/18,12,2.735334562,19.6246902,12971,1.90366194,16.79607546
Brooklyn,Brooklyn,1/10/18,20,2.011211111,9.964719136,117,1.621768519,12.32691667
Queens,Queens,1/16/18,17,5.684828047,24.34717386,245,2.160093026,24.94797718
Manhattan,EWR,1/20/18,13,18.008125,35.75720486,23,9.5665625,94.7225
Manhattan,Queens,1/27/18,17,9.461437646,37.71878399,216,4.267294872,37.91396853
Manhattan,Brooklyn,1/1/18,19,6.822542517,23.65746882,234,2.696602891,27.25281888
Brooklyn,Manhattan,1/2/18,21,5.556428571,19.80982143,29,2.555,25.50678571
Queens,Brooklyn,1/6/18,23,13.21883497,31.35261926,165,5.223507433,44.93554951
Brooklyn,Brooklyn,1/8/18,7,2.64837223,41.15652797,132,1.247735738,15.03926096
Manhattan,Staten Island,1/9/18,16,17.13,65.46666667,1,0,56.8
Brooklyn,Manhattan,1/9/18,20,4.434137931,16.67672414,30,3.255172414,20.96034483
Queens,Manhattan,1/10/18,18,12.81486708,43.19929834,633,7.107519861,53.32798828
Queens,Brooklyn,1/22/18,23,13.21251825,31.89258631,135,4.97200377,43.63527361
Queens,Brooklyn,1/2/18,10,12.38493745,29.14347928,101,4.060052462,41.4640678
Queens,Queens,1/10/18,12,5.982510531,19.31891342,176,1.350960296,22.00164711
Brooklyn,Brooklyn,1/12/18,3,2.484756098,8.746883469,49,1.137439024,13.96995935
Manhattan,EWR,1/12/18,15,16.59660417,131.7617014,51,9.733305556,102.8409444
Bronx,Queens,1/19/18,20,23.7,35.51666667,1,0,69.56
Brooklyn,Manhattan,1/29/18,19,4.851071429,13.76369048,15,2.543571429,20.71857143
Manhattan,Queens,1/31/18,10,11.42959483,32.09557156,241,5.415785732,45.53403848
Brooklyn,Manhattan,1/2/18,12,5.085454545,20.01742424,22,1.748636364,22.04727273
Queens,Queens,1/18/18,11,4.374051472,14.69894664,146,1.718862751,19.17308255
Manhattan,EWR,1/19/18,17,17.9260119,68.41577381,27,15.68428571,108.1630952
Unknown,Brooklyn,1/22/18,12,1.5,8.966666667,1,0,8.8
Queens,EWR,1/8/18,16,30.11,135.5666667,1,0,199.06
Unknown,Brooklyn,1/22/18,15,1.29,8.383333333,1,1.66,9.96
Queens,Queens,1/13/18,23,5.330512566,64.3741437,244,1.316728285,20.24353604
Brooklyn,Manhattan,1/28/18,17,4.993478261,21.65507246,23,2.766521739,23.15217391
Manhattan,Bronx,1/18/18,8,7.094456522,27.50507246,47,2.992717391,29.4475
Unknown,Manhattan,1/19/18,7,1.482142857,9.29457672,38,1.048452381,15.05734127
Brooklyn,Queens,1/24/18,23,7.610625,19.071875,9,2.17625,27.28875
Manhattan,Unknown,1/16/18,17,3.733529412,19.39330065,24,3.303235294,35.23127451
Manhattan,Unknown,1/30/18,22,9.518888889,19.71680556,44,6.915666667,56.38802778
Bronx,Bronx,1/19/18,1,0.476666667,1.877777778,3,3.683333333,34.81666667
Unknown,Unknown,1/9/18,7,1.718841808,10.06012241,180,4.70039548,32.77864407
Brooklyn,Queens,1/20/18,17,8.525,33.7,2,2.5,31.55
Manhattan,Unknown,1/23/18,8,6.855,21.51541667,25,3.431,39.4985
Unknown,Queens,1/26/18,22,7.1,34.13333333,1,5.65,33.95
Brooklyn,Queens,1/30/18,1,7.376666667,21.91666667,3,0.733333333,25.7
Unknown,Queens,1/19/18,21,3.450625,10.76979167,7,1.41,21.21
Brooklyn,Queens,1/25/18,19,8.338,27.42666667,5,2.95,40.702
Manhattan,EWR,1/17/18,13,18.05994444,35.45875,45,15.41730556,100.5189167
Brooklyn,Manhattan,1/25/18,17,4.69375,23.68411458,35,2.713125,24.306875
Queens,Unknown,1/19/18,12,20.82386243,32.84867725,19,7.198624339,93.65380952
Unknown,Bronx,1/1/18,10,2.62,5.341666667,2,7.53,53.33
Unknown,Unknown,1/7/18,0,3.067267206,4.111669666,257,7.897823887,87.45241453
Queens,Bronx,1/16/18,17,18.09444444,48.44938272,11,4.324074074,64.66703704
Queens,Bronx,1/21/18,5,11.9875,23.3375,4,0,39
Brooklyn,Queens,1/14/18,8,13.454,22.53,6,3.145,41.795
Manhattan,EWR,1/16/18,5,17.30807692,84.30064103,18,10.97576923,91.03923077
Queens,Staten Island,1/9/18,16,27.42,77.94166667,2,10,100.07
Manhattan,Staten Island,1/11/18,3,14.8,25.63333333,1,10.75,64.57
Manhattan,Staten Island,1/22/18,19,17.86,36.56666667,2,13.28,79.73
Unknown,Unknown,1/30/18,19,4.77982851,11.15009825,314,7.221382637,62.06471597
Unknown,Queens,1/8/18,10,0.116666667,0.095833333,6,4.971666667,38.31333333
Brooklyn,Unknown,1/12/18,6,12.2,31.4,2,0,36.3
Brooklyn,Queens,1/26/18,19,10.79111111,29.44259259,9,3.123333333,37.70111111
Manhattan,Staten Island,1/13/18,1,17.85833333,37.94166667,6,9.096666667,74.12333333
Bronx,Manhattan,1/8/18,0,9.24,18.68333333,1,0,38.6
Bronx,Manhattan,1/9/18,9,2.925,38.2,3,0.705,25.005
Unknown,Manhattan,1/2/18,4,0,0.083333333,1,12.8,76.8
Brooklyn,Staten Island,1/5/18,23,14.19,27.48333333,1,0,52.82
Manhattan,Staten Island,1/24/18,1,22.14,49.81666667,1,15.26,91.58
Unknown,Bronx,1/15/18,22,0.11,0.05,1,14.06,84.36
Unknown,Bronx,1/2/18,12,6.5,18.7,2,0,25.68
Unknown,Queens,1/11/18,15,8,30.48333333,2,3.5,33.68
Bronx,Manhattan,1/4/18,2,6.05,18.51666667,1,0,20.3
Unknown,EWR,1/15/18,8,0,0.9,1,18,108.3
Queens,Staten Island,1/7/18,13,25.7,36.61666667,1,23.75,103.07
Unknown,EWR,1/1/18,3,0,0.05,1,0,114.8
Bronx,Unknown,1/19/18,15,1.4,7.283333333,1,0,8.3
Manhattan,Brooklyn,1/1/18,12,7.023576159,40.40338484,176,2.496390728,27.31612583
Manhattan,Bronx,1/5/18,17,7.250510204,29.72806122,52,1.206734694,29.51510204
Manhattan,Queens,1/7/18,22,7.236379505,23.47724287,187,2.393119369,28.54459459
Queens,Manhattan,1/8/18,17,13.53780644,48.29600887,566,7.059968491,56.78757363
Manhattan,Queens,1/8/18,19,9.203565972,39.59759693,272,4.514511285,38.85116753
Manhattan,Bronx,1/8/18,19,7.846111111,27.22124486,60,2.562530864,31.0882716
Manhattan,Queens,1/11/18,3,8.449771386,20.95026303,155,2.912225664,31.23402507
Brooklyn,Manhattan,1/12/18,7,5.069948864,37.43291351,122,3.055183712,23.01342235
Brooklyn,Manhattan,1/12/18,23,5.455952381,20.93518519,67,2.535634921,23.59992063
Manhattan,Queens,1/16/18,7,11.63431858,31.7934387,347,6.19987334,46.3596341
Manhattan,Brooklyn,1/17/18,20,6.663704476,25.0334253,763,4.097362303,29.01736271
